sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
26ce0c76786c43158b3bac999b27e76b,1,979,-0.05193753,6,6
271d30b5f00a4d5893549090c5dae1cc,0,21773,-0.02851342,1,6
271d30b5f00a4d5893549090c5dae1cc,1,727,0.07741255,5,6
27db2832d44144829b896d46b441f66c,0,21573,-0.03178931,1,6
27db2832d44144829b896d46b441f66c,1,927,-0.02656864,6,6
27e105e2c42b46479433c2d8df488f1d,0,21845,-0.01130165,1,6
27e105e2c42b46479433c2d8df488f1d,1,655,0.03819444,0,6
27f42a55215f4223a01afa79fcda72e6,0,21723,-0.03004391,1,6
27f42a55215f4223a01afa79fcda72e6,1,777,-0.00955175,0,5
2818d76fdbcf49029de0e316a26f8903,0,22168,-0.02717745,1,5
2818d76fdbcf49029de0e316a26f8903,1,332,-0.04208258,2,6
28285c367b2d468f850572ddcc7efac9,0,21836,-0.03625488,1,6
28285c367b2d468f850572ddcc7efac9,1,664,-0.00802072,5,6
28b11a54a9554bcab30d73ee193046b5,0,22385,-0.02720807,1,6
28b11a54a9554bcab30d73ee193046b5,1,115,-0.00341714,3,0
28d072daaeb44926a824bb2671878b68,0,21454,-0.02870383,1,6
28d072daaeb44926a824bb2671878b68,1,1046,-0.10024590,5,6
28d07d72b06a4355acbac00bf541d3d3,0,21995,-0.02941453,1,6
28d07d72b06a4355acbac00bf541d3d3,1,505,0.06583333,5,6
291d30843273487c96a7dc86f79a030f,0,21914,-0.02366972,1,6
291d30843273487c96a7dc86f79a030f,1,586,-0.06189156,7,6
291e7331922541cea98122b607d24831,0,21310,-0.02767479,1,6
291e7331922541cea98122b607d24831,1,1190,-0.08020897,5,6
29583d31207448f899bfbe4e7ce14db4,0,21860,-0.03557390,1,6
29583d31207448f899bfbe4e7ce14db4,1,640,0.02454897,6,6
296fcfbf2e29489699f1cb5631f38ff5,0,22276,-0.02784250,1,6
296fcfbf2e29489699f1cb5631f38ff5,1,224,0.08808769,0,0
298d59b27acb44e3b91aa8951b246488,0,22272,-0.02498314,1,6
298d59b27acb44e3b91aa8951b246488,1,228,0.09264076,0,0
2996dec1589e4dad840eb5801d27d255,0,21522,-0.04086413,1,5
2996dec1589e4dad840eb5801d27d255,1,978,0.01652698,0,0
29b8d47b841f44ce8216353f373ba2c3,0,21657,-0.02657579,1,6
29b8d47b841f44ce8216353f373ba2c3,1,843,-0.02205722,0,6
2a07391a099947f285e1801d1386abcc,0,21727,-0.01128428,1,5
2a07391a099947f285e1801d1386abcc,1,773,0.04359098,0,0
2b4bb1ecb2244264ba9043ee04854ac2,0,22184,-0.03014086,1,6
2b4bb1ecb2244264ba9043ee04854ac2,1,316,-0.00394906,3,0
2bb8324710ae4fb1a000cdf7f1eb253c,0,21474,-0.04439927,1,6
2bb8324710ae4fb1a000cdf7f1eb253c,1,1026,-0.04729167,5,6
2bdf0127a7094e3aabdf8be3f4670cb0,0,22293,-0.02469758,1,6
2bdf0127a7094e3aabdf8be3f4670cb0,1,207,0.03748891,5,6
2c1f8867c60b44f09ee37b5df1d1ad24,0,21870,-0.03487400,1,5
2c1f8867c60b44f09ee37b5df1d1ad24,1,630,0.00069357,6,6
2d11e1f994bb48b2b65f8fe2d28004c3,0,21666,-0.04675040,1,6
2d11e1f994bb48b2b65f8fe2d28004c3,1,834,-0.00724213,6,6
2d65df5368bf4e068e3cdf602c382c59,0,22061,-0.01181818,1,5
2d65df5368bf4e068e3cdf602c382c59,1,439,-0.02805812,6,6
2d72c60d65f84eae91bb4e5b2486b366,0,22218,-0.03430030,1,5
2d72c60d65f84eae91bb4e5b2486b366,1,282,0.05081859,7,0
2dc6dfa0bf9441f6a2397e7d4ec424ad,0,21879,-0.04490925,1,5
2dc6dfa0bf9441f6a2397e7d4ec424ad,1,621,-0.01648059,7,0
2e24381cb9434a89abd7f3eb1ed838b6,0,21555,-0.04675475,1,5
2e24381cb9434a89abd7f3eb1ed838b6,1,945,0.00046722,0,0
